Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_370:0000868,ColorR10_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000872,ColorR20_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000875,ColorR30_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000878,ColorR40_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000881,ColorR50_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000884,ColorR60_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000887,ColorR70_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000890,ColorR80_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000893,ColorR90_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000896,ColorR100_Obser_per,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000899,Size65M_Obser_count,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000903,Size65P_Obser_count,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000906,Size70P_Obser_count,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000909,Size75P_Obser_count,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000912,Size80P_Obser_count,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000915,Size85P_Obser_count,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000918,Size90P_Obser_count,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000921,Russeting_Obser_score,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000924,Blossom_Obser_date,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000928,FlowerFull_Obser_date,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000931,FlowerFade_Obser_date,,Annual sorting data,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000934,GDD_WS_N,,Plant development,Plant development,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000938,Shrivel_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000941,Stains_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000944,Greasiness_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000947,PeelTan_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000950,BitterPit_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000953,Rots_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000956,Lenticel_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000959,FrostDamage_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000962,PinScab_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000965,Mildew_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000968,MDecay_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000971,Browning_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000974,Mould_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0000977,Glass_Obser_count,,Disorder indicator,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
